sample,epoch_seconds,rss_kb,cpu_percent,cpu_time
205,1786303062.950947,228208,100.0,0:42.52
206,1786303063.083291,228384,100.0,0:42.66
207,1786303063.220064,228528,98.4,0:42.80
208,1786303063.362129,228688,99.1,0:42.94
209,1786303063.503136,228800,99.3,0:43.08
210,1786303063.645067,228928,100.0,0:43.22
211,1786303063.788081,229008,100.0,0:43.36
212,1786303063.923854,229056,100.0,0:43.50
213,1786303064.069969,229200,100.0,0:43.65
214,1786303064.213553,229280,97.9,0:43.79
215,1786303064.359678,229408,98.8,0:43.94
216,1786303064.507996,229504,100.0,0:44.08
217,1786303064.651877,229648,98.2,0:44.23
218,1786303064.797863,229712,100.0,0:44.37
219,1786303064.939052,229808,99.1,0:44.51
220,1786303065.085913,229920,100.0,0:44.66
221,1786303065.233232,230000,100.0,0:44.81
222,1786303065.371801,230112,98.1,0:44.95
223,1786303065.518502,230208,100.0,0:45.09
224,1786303065.661198,230320,100.0,0:45.24
225,1786303065.804366,230432,99.3,0:45.38
226,1786303065.952768,230480,100.0,0:45.53
227,1786303066.103314,230576,99.4,0:45.67
228,1786303066.251222,230672,99.9,0:45.82
229,1786303066.391823,230816,99.7,0:45.96
230,1786303066.538298,230912,100.0,0:46.11
231,1786303066.676651,231024,98.5,0:46.25
232,1786303066.826006,231152,100.0,0:46.40
233,1786303066.985437,231232,99.6,0:46.55
234,1786303067.134452,231344,98.9,0:46.70
235,1786303067.284180,231456,99.3,0:46.85
236,1786303067.433773,231536,100.0,0:47.00
237,1786303067.577684,231600,98.5,0:47.14
238,1786303067.727297,231712,99.1,0:47.29
239,1786303067.885304,231792,99.4,0:47.45
240,1786303068.041318,231904,99.3,0:47.60
241,1786303068.208809,232000,99.2,0:47.76
242,1786303068.357471,231904,100.0,0:47.92
243,1786303068.511943,232032,99.9,0:48.07
244,1786303068.676538,232160,98.7,0:48.23
245,1786303068.830684,232288,100.0,0:48.39
246,1786303068.981846,232320,99.7,0:48.54
247,1786303069.130792,232368,99.7,0:48.69
248,1786303069.277861,232480,99.4,0:48.84
249,1786303069.429433,232608,99.8,0:48.99
250,1786303069.569282,232640,99.0,0:49.13
251,1786303069.711206,232784,100.0,0:49.27
252,1786303069.860697,232864,99.1,0:49.42
253,1786303070.003178,233056,100.0,0:49.56
254,1786303070.186305,233168,100.0,0:49.75
255,1786303070.324311,233312,99.4,0:49.89
256,1786303070.468167,233424,100.0,0:50.03
257,1786303070.610501,233600,99.3,0:50.17
258,1786303070.752588,233680,100.0,0:50.31
259,1786303070.897608,233776,100.0,0:50.46
260,1786303071.044999,233920,100.0,0:50.60
261,1786303071.180428,233968,99.1,0:50.74
262,1786303071.320939,234080,99.1,0:50.88
263,1786303071.465835,234176,99.4,0:51.03
264,1786303071.614263,234256,99.2,0:51.17
265,1786303071.765948,234384,100.0,0:51.32
266,1786303071.912468,234480,100.0,0:51.47
267,1786303072.050982,238704,98.5,0:51.61
268,1786303072.199464,238864,99.5,0:51.76
269,1786303072.349127,239024,99.1,0:51.91
270,1786303072.493533,239136,99.7,0:52.05
271,1786303072.644338,239264,99.4,0:52.20
272,1786303072.789923,239376,99.4,0:52.35
273,1786303072.933326,239536,100.0,0:52.49
274,1786303073.069517,239664,99.3,0:52.63
275,1786303073.218574,239824,99.6,0:52.77
276,1786303073.418352,240016,100.0,0:52.98
277,1786303073.562110,240128,99.5,0:53.12
278,1786303073.709817,240256,100.0,0:53.26
279,1786303073.850765,240368,100.0,0:53.41
280,1786303073.996468,240448,99.0,0:53.55
281,1786303074.141317,240608,99.8,0:53.70
282,1786303074.290077,240752,99.0,0:53.84
283,1786303074.434775,240896,99.7,0:53.99
284,1786303074.581263,241104,100.0,0:54.13
285,1786303074.726940,241248,98.6,0:54.28
286,1786303074.871267,241392,100.0,0:54.43
287,1786303075.018091,241552,99.6,0:54.57
288,1786303075.165533,241664,98.9,0:54.72
289,1786303075.303616,241792,99.1,0:54.86
290,1786303075.450806,241904,100.0,0:55.00
291,1786303075.595022,242096,100.0,0:55.15
292,1786303075.742179,242288,100.0,0:55.29
293,1786303075.888193,242400,100.0,0:55.44
294,1786303076.036891,242496,98.9,0:55.59
295,1786303076.174585,242688,99.0,0:55.73
296,1786303076.321857,242784,99.6,0:55.87
297,1786303076.458760,242944,99.4,0:56.01
298,1786303076.606603,243056,100.0,0:56.16
299,1786303076.753041,243184,99.8,0:56.30
300,1786303076.895319,243344,99.8,0:56.45
301,1786303077.039483,243552,100.0,0:56.59
302,1786303077.179682,243648,100.0,0:56.73
303,1786303077.319946,243760,98.7,0:56.87
304,1786303077.462811,243856,99.6,0:57.01
305,1786303077.610235,244064,99.4,0:57.16
306,1786303077.758837,244224,100.0,0:57.31
307,1786303077.908988,244336,98.7,0:57.46
308,1786303078.066906,244464,100.0,0:57.62
309,1786303078.206715,244576,99.0,0:57.76
310,1786303078.355734,244736,99.5,0:57.90
311,1786303078.505967,244816,100.0,0:58.05
312,1786303078.689130,244912,98.7,0:58.20
313,1786303078.868615,245056,99.2,0:58.39
314,1786303079.020585,245200,98.2,0:58.55
315,1786303079.175906,245312,98.4,0:58.71
316,1786303079.335212,245456,99.8,0:58.87
317,1786303079.495182,245616,98.8,0:59.03
318,1786303079.654242,245792,99.4,0:59.19
319,1786303079.863288,245888,98.5,0:59.36
320,1786303080.011093,245984,100.0,0:59.54
321,1786303080.155849,246128,98.2,0:59.69
322,1786303080.308431,247040,96.0,0:59.82
323,1786303080.453491,248016,92.5,0:59.96
324,1786303080.701391,248928,94.0,1:00.08
325,1786303080.878784,249696,58.2,1:00.21
326,1786303081.019443,250720,69.1,1:00.35
327,1786303081.168420,251760,87.4,1:00.49
328,1786303081.315721,252736,87.8,1:00.63
329,1786303081.464038,253712,92.2,1:00.76
330,1786303081.606492,254720,91.6,1:00.91
331,1786303081.742131,255632,89.8,1:01.03
332,1786303081.886084,256576,94.3,1:01.16
333,1786303082.032855,257616,92.1,1:01.31
334,1786303082.177488,258656,96.4,1:01.45
335,1786303082.326064,259792,97.6,1:01.60
336,1786303082.461642,260752,98.3,1:01.73
337,1786303082.603009,261776,98.5,1:01.88
338,1786303082.746191,262736,95.4,1:02.01
339,1786303082.891814,263728,97.2,1:02.14
340,1786303083.032460,264656,94.0,1:02.27
341,1786303083.215440,265888,97.5,1:02.45
342,1786303083.363273,266416,93.7,1:02.54
343,1786303083.511017,266416,67.7,1:02.56
344,1786303083.652165,254640,47.3,1:02.58
345,1786303083.798997,254640,34.4,1:02.62
346,1786303083.940002,254640,22.9,1:02.63
347,1786303084.082855,254640,15.4,1:02.63
348,1786303084.256498,260368,20.4,1:02.70
349,1786303084.396151,260864,36.4,1:02.80
350,1786303084.535954,260864,22.9,1:02.80
351,1786303084.673792,260864,14.1,1:02.80
352,1786303084.805989,260864,8.9,1:02.80
353,1786303084.942359,260864,5.4,1:02.80
354,1786303085.074957,260864,3.3,1:02.80
355,1786303085.220601,260864,2.0,1:02.80
356,1786303085.360611,260864,1.1,1:02.80
357,1786303085.495413,260864,0.8,1:02.80
358,1786303085.635601,260864,0.3,1:02.80
359,1786303085.774021,260864,0.2,1:02.80
360,1786303085.913011,260864,0.0,1:02.80
361,1786303086.046390,260864,0.0,1:02.80
362,1786303086.183513,260864,0.0,1:02.80
363,1786303086.324432,260864,0.0,1:02.80
364,1786303086.466700,260864,0.1,1:02.80
365,1786303086.607943,260864,0.0,1:02.80
366,1786303086.747687,260896,0.0,1:02.80
367,1786303086.881166,260896,0.0,1:02.80
368,1786303087.018753,260896,0.0,1:02.80
369,1786303087.158966,260896,0.0,1:02.80
370,1786303087.336912,260896,0.0,1:02.80
371,1786303087.486373,260896,0.0,1:02.80
372,1786303087.674797,260944,0.0,1:02.80
373,1786303087.824625,260944,0.1,1:02.80
374,1786303087.974026,260944,0.0,1:02.80
375,1786303088.121268,260944,0.0,1:02.80
376,1786303088.270310,260944,0.0,1:02.80
377,1786303088.419903,260944,0.0,1:02.80
378,1786303088.559453,260944,0.0,1:02.80
379,1786303088.708517,260944,0.0,1:02.80
380,1786303088.853966,260944,0.0,1:02.80
381,1786303089.001622,260944,0.0,1:02.80
382,1786303089.147167,260944,0.0,1:02.80
383,1786303089.280106,260944,0.0,1:02.80
384,1786303089.413885,260944,0.0,1:02.80
385,1786303089.544173,260944,0.0,1:02.80
386,1786303089.677998,260944,0.0,1:02.80
387,1786303089.808102,260944,0.0,1:02.80
388,1786303089.941759,260896,0.0,1:02.80
389,1786303090.074534,260896,0.0,1:02.80
390,1786303090.201942,260896,0.0,1:02.80
391,1786303090.335055,260896,0.0,1:02.80
392,1786303090.459175,260896,0.0,1:02.80
393,1786303090.590234,260896,0.0,1:02.80
394,1786303090.727784,260896,0.0,1:02.80
395,1786303090.860369,260896,0.0,1:02.80
